Text,Liked
"['wow', 'loved', 'place']",1
"['crust', 'not', 'good']",0
"['not', 'tasty', 'texture', 'nasty']",0
"['stopped', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommendation', 'loved']",1
"['selection', 'menu', 'great', 'price']",1
"['getting', 'angry', 'want', 'damn', 'pho']",0
"['honeslty', 'didnt', 'taste', 'fresh']",0
"['potato', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']",0
"['fry', 'great']",1
"['great', 'touch']",1
"['service', 'prompt']",1
"['would', 'not', 'go', 'back']",0
"['cashier', 'care', 'ever', 'say', 'still', 'ended', 'wayyy', 'overpriced']",0
"['tried', 'cape', 'cod', 'ravoli', 'chicken', 'cranberrymmmm']",1
"['disgusted', 'pretty', 'sure', 'human', 'hair']",0
"['shocked', 'sign', 'indicate', 'cash']",0
"['highly', 'recommended']",1
"['waitress', 'little', 'slow', 'service']",0
"['place', 'not', 'worth', 'time', 'let', 'alone', 'vega']",0
"['not', 'like']",0
"['burrittos', 'blah']",0
"['food', 'amazing']",1
"['service', 'also', 'cute']",1
"['could', 'care', 'le', 'interior', 'beautiful']",1
['performed'],1
"['thats', 'rightthe', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']",1
"['never', 'brought', 'salad', 'asked']",0
"['hole', 'wall', 'great', 'mexican', 'street', 'taco', 'friendly', 'staff']",1
"['took', 'hour', 'get', 'food', '4', 'table', 'restaurant', 'food', 'luke', 'warm', 'sever', 'running', 'around', 'like', 'totally', 'overwhelmed']",0
"['worst', 'salmon', 'sashimi']",0
"['also', 'combo', 'like', 'burger', 'fry', 'beer', '23', 'decent', 'deal']",1
"['like', 'final', 'blow']",0
"['found', 'place', 'accident', 'could', 'not', 'happier']",1
"['seems', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewhere']",0
"['overall', 'like', 'place', 'lot']",1
"['redeeming', 'quality', 'restaurant', 'inexpensive']",1
"['ample', 'portion', 'good', 'price']",1
"['poor', 'service', 'waiter', 'made', 'feel', 'like', 'stupid', 'every', 'time', 'came', 'table']",0
"['first', 'visit', 'hiro', 'delight']",1
"['service', 'suck']",0
"['shrimp', 'tender', 'moist']",1
"['not', 'deal', 'good', 'enough', 'would', 'drag', 'establishment']",0
"['hard', 'judge', 'whether', 'side', 'good', 'grossed', 'melted', 'styrofoam', 'didnt', 'want', 'eat', 'fear', 'getting', 'sick']",0
"['positive', 'note', 'server', 'attentive', 'provided', 'great', 'service']",1
"['frozen', 'puck', 'disgust', 'worst', 'people', 'behind', 'register']",0
